Hybridization A,Rxn Atom A,Modification A,Hybridization B,Rxn Atom B,Modification B,Reactions Smarts
sp3,NH2,,sp3,B[O],,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][O:4][C:5]([C:6][C:7])=[O:8]"
sp3,NH2,,sp3,B[O],+H,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][O:4][C:5]([C:6][C:7])[O:8]"
sp3,NH2,,sp3,B[O],+H2,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][O:4][C:5][C:6][C:7]"
sp3,NH2,,sp3,B[C],,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:5]([C:6][C:7])=[O:8]"
sp3,NH2,,sp3,B[C],+H,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:5]([C:6][C:7])[O:8]"
sp3,NH2,,sp3,B[C],+H2,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:5][C:6][C:7]"
sp3,NH2,,sp3,alpha,,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:6]([C:7])[C:5]([O:4])=[O:8]"
sp3,NH2,,sp3,alpha,-B,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:6][C:7]"
sp3,NH2,,sp3,alpha,-OH,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:6]([C:7])[C:5]=[O:8]"
sp3,NH2,,sp3,alpha,+H,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:6]([C:7])[C:5]([O:4])[O:8]"
sp3,NH2,,sp3,alpha,+H2,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:6]([C:7])[C:5][O:4]"
sp3,NH2,,sp3,beta,,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:7][C:6][C:5]([O:4])=[O:8]"
sp3,NH2,,sp3,beta,-B,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:7][C:6]"
sp3,NH2,,sp3,beta,-OH,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:7][C:6][C:5]=[O:8]"
sp3,NH2,,sp3,beta,+H,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:7][C:6][C:5]([O:4])[O:8]"
sp3,NH2,,sp3,beta,+H2,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:7][C:6][C:5][O:4]"
sp3,NH2,,sp2,B[O],,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][O:4][C:5]([C:6]=[C:7])=[O:8]"
sp3,NH2,,sp2,B[O],+H,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][O:4][C:5]([C:6]=[C:7])[O:8]"
sp3,NH2,,sp2,B[O],+H2,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][O:4][C:5][C:6]=[C:7]"
sp3,NH2,,sp2,B[C],,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:5]([C:6]=[C:7])=[O:8]"
sp3,NH2,,sp2,B[C],+H,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:5]([C:6]=[C:7])[O:8]"
sp3,NH2,,sp2,B[C],+H2,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:5][C:6]=[C:7]"
sp3,NH2,,sp2,alpha,,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:6](=[C:7])[C:5]([O:4])=[O:8]"
sp3,NH2,,sp2,alpha,-B,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:6]=[C:7]"
sp3,NH2,,sp2,alpha,-OH,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:6](=[C:7])[C:5]=[O:8]"
sp3,NH2,,sp2,alpha,+H,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:6](=[C:7])[C:5]([O:4])[O:8]"
sp3,NH2,,sp2,alpha,+H2,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:6](=[C:7])[C:5][O:4]"
sp3,NH2,,sp2,beta,,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:7]=[C:6][C:5]([O:4])=[O:8]"
sp3,NH2,,sp2,beta,-B,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:7]=[C:6]"
sp3,NH2,,sp2,beta,-OH,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:7]=[C:6][C:5]=[O:8]"
sp3,NH2,,sp2,beta,+H,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:7]=[C:6][C:5]([O:4])[O:8]"
sp3,NH2,,sp2,beta,+H2,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2][N:1][C:7]=[C:6][C:5][O:4]"
sp3,alpha,,sp3,B[O],,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[O:4][C:5]([C:6][C:7])=[O:8]"
sp3,alpha,,sp3,B[O],+H,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[O:4][C:5]([C:6][C:7])[O:8]"
sp3,alpha,,sp3,B[O],+H2,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[O:4][C:5][C:6][C:7]"
sp3,alpha,,sp3,B[C],,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:5]([C:6][C:7])=[O:8]"
sp3,alpha,,sp3,B[C],+H,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:5]([C:6][C:7])[O:8]"
sp3,alpha,,sp3,B[C],+H2,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:5][C:6][C:7]"
sp3,alpha,,sp3,alpha,,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:6]([C:7])[C:5]([O:4])=[O:8]"
sp3,alpha,,sp3,alpha,-B,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:6][C:7]"
sp3,alpha,,sp3,alpha,-OH,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:6]([C:7])[C:5]=[O:8]"
sp3,alpha,,sp3,alpha,+H,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:6]([C:7])[C:5]([O:4])[O:8]"
sp3,alpha,,sp3,alpha,+H2,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:6]([C:7])[C:5][O:4]"
sp3,alpha,,sp3,beta,,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:7][C:6][C:5]([O:4])=[O:8]"
sp3,alpha,,sp3,beta,-B,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:7][C:6]"
sp3,alpha,,sp3,beta,-OH,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:7][C:6][C:5]=[O:8]"
sp3,alpha,,sp3,beta,+H,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:7][C:6][C:5]([O:4])[O:8]"
sp3,alpha,,sp3,beta,+H2,"[C:3][C:2]-,:[N:1] . [C:7][C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:7][C:6][C:5][O:4]"
sp3,alpha,,sp2,B[O],,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[O:4][C:5]([C:6]=[C:7])=[O:8]"
sp3,alpha,,sp2,B[O],+H,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[O:4][C:5]([C:6]=[C:7])[O:8]"
sp3,alpha,,sp2,B[O],+H2,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[O:4][C:5][C:6]=[C:7]"
sp3,alpha,,sp2,B[C],,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:5]([C:6]=[C:7])=[O:8]"
sp3,alpha,,sp2,B[C],+H,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:5]([C:6]=[C:7])[O:8]"
sp3,alpha,,sp2,B[C],+H2,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:5][C:6]=[C:7]"
sp3,alpha,,sp2,alpha,,"[C:3][C:2]-,:[N:1] . [C:7]=[C:6]-,:[C:5](-[O:4])=[O:8] >> [C:3][C:2]([N:1])[C:6](=[C:7])[C:5]([O:4])=[O:8]"
